
Algorithmic Toolbox,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/fb/434400d9ac11e5afbfa359f34ae5f0/logo3.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of California| San Diego| Higher School of Economics,Average User Rating 4.6See what learners said
Stanford Introduction to Food and Health,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/b0/aae5e0b59611e58ae18543e6165465/fruit-bowl.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Stanford University,Average User Rating 4.6See what learners said
Introduction to Big Data,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/6c/8380704d0911e5ad1d830708963890/big-data-_2_.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of California| San Diego,Average User Rating 4.5See what learners said
Introduction to Philosophy,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/04/d57b80c12111e694fd8bca8aebde40/school-of-athens-raphael-1080x1080.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,The University of Edinburgh,Average User Rating 4.6See what learners said
Speak English Professionally: In Person| Online & On the Phone,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/6e/57b3c034c211e6b0ee8f39a2528cfb/199356_Speak_Eng_Prof_Icon.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Georgia Institute of Technology,Average User Rating 4.6See what learners said
Introduction to Probability and Data,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/6f/84dd00f4e311e5b1964b8e2cbb6cfc/intro_to_data_and_probability.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Duke University,Average User Rating 4.7See what learners said
Using Python to Access Web Data,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/53/01bee0502a11e58ddc8ff4d6e0523a/pythonnetworkdata_thumbnail_1x1.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Michigan,Average User Rating 4.8See what learners said
Machine Learning Foundations: A Case Study Approach,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e4/3283d04d0111e5970145eef7ee0b59/gears-818461_1280.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Washington,Average User Rating 4.6See what learners said
Applied Machine Learning in Python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f8/d9a0901e1411e6b4be05fc1f155449/python_datascience_thumbnail_machinelearning_1x1.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Michigan,Average User Rating 4.6See what learners said
Data-driven Decision Making,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e1/34fdb02d0d11e6abe37734764945a3/PwC_fl_c.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,PwC,Average User Rating 4.6See what learners said
Programming Foundations with JavaScript| HTML and CSS,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/1d/9ab6c01a0711e5aafd874ac89d7e65/digital-388075_1280.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Duke University,Average User Rating 4.5See what learners said
